#Data for Z=76, E=0.2-100 keV
#     E              f1 
#   keV           e atom-1
1.7053801E+00  4.65237E+01
1.7139070E+00  4.63152E+01
1.7224766E+00  4.60970E+01
1.7310889E+00  4.58685E+01
1.7397444E+00  4.56289E+01
1.7484431E+00  4.53771E+01
1.7571853E+00  4.51121E+01
1.7659712E+00  4.48328E+01
1.7748011E+00  4.45378E+01
1.7836751E+00  4.42255E+01
1.7925935E+00  4.38942E+01
1.8015565E+00  4.35416E+01
1.8105642E+00  4.31655E+01
1.8196171E+00  4.27627E+01
1.8287151E+00  4.23298E+01
1.8378587E+00  4.18625E+01
1.8470480E+00  4.13555E+01
1.8562833E+00  4.08023E+01
1.8655647E+00  4.01943E+01
1.8748925E+00  3.95206E+01
1.8842670E+00  3.87663E+01
1.8936883E+00  3.79108E+01
1.9031567E+00  3.69241E+01
1.9126725E+00  3.57604E+01
1.9222359E+00  3.43427E+01
1.9318471E+00  3.25270E+01
1.9415063E+00  2.99862E+01
1.9512138E+00  2.56313E+01
1.9596590E+00  8.61191E+00
1.9605411E+00  8.30119E+00
1.9609699E+00  1.21007E+01
1.9707747E+00  2.58504E+01
1.9806286E+00  2.90594E+01
1.9905318E+00  3.06406E+01
2.0004844E+00  3.13542E+01
2.0104868E+00  3.12867E+01
2.0205393E+00  2.99555E+01
2.0299512E+00  2.17230E+01
2.0306420E+00  1.55705E+01
2.0316490E+00  2.17027E+01
2.0407952E+00  3.16850E+01
2.0509992E+00  3.51111E+01
2.0612542E+00  3.73616E+01
2.0715604E+00  3.90993E+01
2.0819182E+00  4.05368E+01
2.0923278E+00  4.17719E+01
2.1027895E+00  4.28590E+01
2.1133034E+00  4.38315E+01
2.1238699E+00  4.47118E+01
2.1344893E+00  4.55160E+01
2.1451617E+00  4.62557E+01
2.1558875E+00  4.69397E+01
2.1666670E+00  4.75751E+01
2.1775003E+00  4.81673E+01
2.1883878E+00  4.87207E+01
2.1993297E+00  4.92390E+01
2.2103264E+00  4.97251E+01
2.2213780E+00  5.01815E+01
2.2324849E+00  5.06101E+01
2.2436473E+00  5.10126E+01
2.2548656E+00  5.13903E+01
2.2661399E+00  5.17444E+01
2.2774706E+00  5.20754E+01
2.2888579E+00  5.23840E+01
2.3003022E+00  5.26702E+01
2.3118037E+00  5.29340E+01
2.3233628E+00  5.31748E+01
2.3349796E+00  5.33915E+01
2.3466545E+00  5.35826E+01
2.3583878E+00  5.37454E+01
2.3701797E+00  5.38762E+01
2.3820306E+00  5.39689E+01
2.3939407E+00  5.40142E+01
2.4059104E+00  5.39961E+01
2.4179400E+00  5.38854E+01
2.4300297E+00  5.36185E+01
2.4421798E+00  5.30125E+01
2.4543907E+00  5.07883E+01
2.4549050E+00  5.04981E+01
2.4594951E+00  5.05312E+01
2.4666627E+00  5.28129E+01
2.4789960E+00  5.43202E+01
2.4913910E+00  5.52373E+01
2.5038479E+00  5.59333E+01
2.5163672E+00  5.65092E+01
2.5289490E+00  5.70078E+01
2.5415938E+00  5.74511E+01
2.5543017E+00  5.78515E+01
2.5670732E+00  5.82143E+01
2.5799086E+00  5.85432E+01
2.5928082E+00  5.88474E+01
2.6057722E+00  5.91334E+01
2.6188011E+00  5.94021E+01
2.6318951E+00  5.96547E+01
2.6450545E+00  5.98917E+01
2.6582798E+00  6.01122E+01
2.6715712E+00  6.03159E+01
2.6849291E+00  6.05026E+01
2.6983537E+00  6.06709E+01
2.7118455E+00  6.08188E+01
2.7254047E+00  6.09420E+01
2.7390317E+00  6.10334E+01
2.7527269E+00  6.10781E+01
2.7664905E+00  6.10415E+01
2.7803230E+00  6.08010E+01
2.7883189E+00  6.02693E+01
2.7942246E+00  5.99526E+01
2.7960812E+00  6.03609E+01
2.8081957E+00  6.13624E+01
2.8222367E+00  6.19197E+01
2.8363479E+00  6.23245E+01
2.8505296E+00  6.26585E+01
2.8647823E+00  6.29495E+01
2.8791062E+00  6.32100E+01
2.8935017E+00  6.34467E+01
2.9079692E+00  6.36630E+01
2.9225091E+00  6.38605E+01
2.9371216E+00  6.40395E+01
2.9518072E+00  6.42081E+01
2.9665662E+00  6.43669E+01
2.9813991E+00  6.45145E+01
2.9963061E+00  6.46501E+01
3.0112876E+00  6.47310E+01
3.0263440E+00  6.47300E+01
3.0414758E+00  6.44990E+01
3.0422811E+00  6.44650E+01
3.0547190E+00  6.45986E+01
3.0566831E+00  6.47181E+01
3.0719666E+00  6.52592E+01
3.0873264E+00  6.55995E+01
3.1027630E+00  6.58751E+01
3.1182768E+00  6.61167E+01
3.1338682E+00  6.63365E+01
3.1495376E+00  6.65407E+01
3.1652853E+00  6.67329E+01
3.1811117E+00  6.69155E+01
3.1970172E+00  6.70899E+01
3.2130023E+00  6.72567E+01
3.2290673E+00  6.74166E+01
3.2452127E+00  6.75705E+01
3.2614387E+00  6.77188E+01
3.2777459E+00  6.78620E+01
3.2941347E+00  6.80005E+01
3.3106053E+00  6.81346E+01
3.3271584E+00  6.82647E+01
3.3437941E+00  6.83908E+01
3.3605131E+00  6.85133E+01
3.3773157E+00  6.86322E+01
3.3942023E+00  6.87479E+01
3.4111733E+00  6.88603E+01
3.4282291E+00  6.89697E+01
3.4453703E+00  6.90762E+01
3.4625971E+00  6.91798E+01
3.4799101E+00  6.92807E+01
3.4973097E+00  6.93790E+01
3.5147962E+00  6.94748E+01
3.5323702E+00  6.95681E+01
3.5500321E+00  6.96590E+01
3.5677822E+00  6.97477E+01
3.5856211E+00  6.98343E+01
3.6035492E+00  6.99186E+01
3.6215670E+00  7.00010E+01
3.6396748E+00  7.00814E+01
3.6578732E+00  7.01598E+01
3.6761626E+00  7.02365E+01
3.6945434E+00  7.03114E+01
3.7130161E+00  7.03846E+01
3.7315812E+00  7.04562E+01
3.7502391E+00  7.05263E+01
3.7689903E+00  7.05948E+01
3.7878352E+00  7.06620E+01
3.8067744E+00  7.07278E+01
3.8258083E+00  7.07923E+01
3.8449373E+00  7.08555E+01
3.8641620E+00  7.09176E+01
3.8834828E+00  7.09786E+01
3.9029002E+00  7.10386E+01
3.9224147E+00  7.13005E+01
3.9420268E+00  7.13589E+01
3.9617369E+00  7.14155E+01
3.9815456E+00  7.14702E+01
4.0014533E+00  7.15232E+01
4.0214606E+00  7.15746E+01
4.0415679E+00  7.16243E+01
4.0617757E+00  7.18105E+01
4.0820846E+00  7.18578E+01
4.1024950E+00  7.19031E+01
4.1230075E+00  7.19466E+01
4.1436226E+00  7.19883E+01
4.1643407E+00  7.20284E+01
4.1851624E+00  7.20670E+01
4.2060882E+00  7.21041E+01
4.2271186E+00  7.21398E+01
4.2482542E+00  7.21741E+01
4.2694955E+00  7.22071E+01
4.2908430E+00  7.22390E+01
4.3122972E+00  7.22696E+01
4.3338587E+00  7.22991E+01
4.3555280E+00  7.23275E+01
4.3773056E+00  7.23548E+01
4.3991921E+00  7.23811E+01
4.4211881E+00  7.24064E+01
4.4432940E+00  7.24308E+01
4.4655105E+00  7.24543E+01
4.4878381E+00  7.24769E+01
4.5102772E+00  7.24986E+01
4.5328286E+00  7.25195E+01
4.5554928E+00  7.25396E+01
4.5782702E+00  7.25590E+01
4.6011616E+00  7.25776E+01
4.6241674E+00  7.25954E+01
4.6472882E+00  7.26126E+01
4.6705247E+00  7.26291E+01
4.6938773E+00  7.26450E+01
4.7173467E+00  7.26603E+01
4.7409334E+00  7.26750E+01
4.7646381E+00  7.26891E+01
4.7884613E+00  7.27026E+01
4.8124036E+00  7.27157E+01
4.8364656E+00  7.27282E+01
4.8606479E+00  7.27403E+01
4.8849512E+00  7.27519E+01
4.9093759E+00  7.27631E+01
4.9339228E+00  7.28768E+01
4.9585924E+00  7.28876E+01
4.9833854E+00  7.28976E+01
5.0083023E+00  7.29067E+01
5.0333438E+00  7.29151E+01
5.0585105E+00  7.29227E+01
5.0838031E+00  7.29297E+01
5.1092221E+00  7.29361E+01
5.1347682E+00  7.29418E+01
5.1604421E+00  7.29469E+01
5.1862443E+00  7.29513E+01
5.2121755E+00  7.29552E+01
5.2382364E+00  7.29585E+01
5.2644276E+00  7.29613E+01
5.2907497E+00  7.29635E+01
5.3172034E+00  7.29653E+01
5.3437895E+00  7.29665E+01
5.3705084E+00  7.29673E+01
5.3973609E+00  7.29676E+01
5.4243477E+00  7.29674E+01
5.4514695E+00  7.29669E+01
5.4787268E+00  7.29659E+01
5.5061205E+00  7.29645E+01
5.5336511E+00  7.29627E+01
5.5613193E+00  7.29605E+01
5.5891259E+00  7.30031E+01
5.6170716E+00  7.30006E+01
5.6451569E+00  7.29975E+01
5.6733827E+00  7.29938E+01
5.7017496E+00  7.29896E+01
5.7302584E+00  7.29849E+01
5.7589096E+00  7.29797E+01
5.7877042E+00  7.29740E+01
5.8166427E+00  7.29678E+01
5.8457259E+00  7.29612E+01
5.8749546E+00  7.29542E+01
5.9043293E+00  7.29468E+01
5.9338510E+00  7.29389E+01
5.9635202E+00  7.29307E+01
5.9933378E+00  7.29220E+01
6.0233045E+00  7.29130E+01
6.0534210E+00  7.29037E+01
6.0836882E+00  7.28940E+01
6.1141066E+00  7.29019E+01
6.1446771E+00  7.28917E+01
6.1754005E+00  7.28810E+01
6.2062775E+00  7.28699E+01
6.2373089E+00  7.28585E+01
6.2684954E+00  7.28466E+01
6.2998379E+00  7.28345E+01
6.3313371E+00  7.28219E+01
6.3629938E+00  7.28090E+01
6.3948088E+00  7.27958E+01
6.4267828E+00  7.27822E+01
6.4589167E+00  7.27683E+01
6.4912113E+00  7.27540E+01
6.5236674E+00  7.27394E+01
6.5562857E+00  7.27245E+01
6.5890671E+00  7.27093E+01
6.6220125E+00  7.26938E+01
6.6551225E+00  7.26779E+01
6.6883981E+00  7.26617E+01
6.7218401E+00  7.26452E+01
6.7554493E+00  7.26284E+01
6.7892266E+00  7.26113E+01
6.8231727E+00  7.25939E+01
6.8572886E+00  7.25762E+01
6.8915750E+00  7.25582E+01
6.9260329E+00  7.25398E+01
6.9606631E+00  7.25212E+01
6.9954664E+00  7.25023E+01
7.0304437E+00  7.24830E+01
7.0655959E+00  7.24634E+01
7.1009239E+00  7.24435E+01
7.1364285E+00  7.24233E+01
7.1721107E+00  7.24028E+01
7.2079712E+00  7.23820E+01
7.2440111E+00  7.23608E+01
7.2802311E+00  7.23394E+01
7.3166323E+00  7.23176E+01
7.3532155E+00  7.22954E+01
7.3899815E+00  7.22729E+01
7.4269314E+00  7.22501E+01
7.4640661E+00  7.22270E+01
7.5013864E+00  7.22035E+01
7.5388934E+00  7.21796E+01
7.5765878E+00  7.21554E+01
7.6144708E+00  7.21309E+01
7.6525431E+00  7.21059E+01
7.6908058E+00  7.20806E+01
7.7292599E+00  7.20549E+01
7.7679062E+00  7.20288E+01
7.8067457E+00  7.20023E+01
7.8457794E+00  7.19754E+01
7.8850083E+00  7.19480E+01
7.9244334E+00  7.19203E+01
7.9640555E+00  7.18921E+01
8.0038758E+00  7.18635E+01
8.0438952E+00  7.18344E+01
8.0841147E+00  7.18048E+01
8.1245352E+00  7.17748E+01
8.1651579E+00  7.17443E+01
8.2059837E+00  7.17133E+01
8.2470136E+00  7.16817E+01
8.2882487E+00  7.16497E+01
8.3296899E+00  7.16171E+01
8.3713384E+00  7.15839E+01
8.4131951E+00  7.15502E+01
8.4552610E+00  7.15160E+01
8.4975373E+00  7.14811E+01
8.5400250E+00  7.14457E+01
9.030794E+00  7.10612E+01
9.653919E+00  7.02032E+01
1.032004E+01  6.85702E+01
1.065348E+01  6.67008E+01
1.081655E+01  6.39315E+01
1.086003E+01  6.06949E+01
1.092525E+01  6.39065E+01
1.103212E+01  6.61286E+01
1.108832E+01  6.67292E+01
1.179334E+01  6.90428E+01
1.213730E+01  6.87669E+01
1.232308E+01  6.75864E+01
1.237262E+01  6.59983E+01
1.244693E+01  6.76734E+01
1.260708E+01  6.90535E+01
1.263270E+01  6.91650E+01
1.270864E+01  6.94128E+01
1.290316E+01  6.94181E+01
1.295503E+01  6.87330E+01
1.303284E+01  6.97742E+01
1.322736E+01  7.09684E+01
1.347697E+01  7.18031E+01
1.440688E+01  7.35317E+01
1.540095E+01  7.45193E+01
1.646362E+01  7.51662E+01
1.759961E+01  7.56001E+01
1.881398E+01  7.58884E+01
2.011215E+01  7.60779E+01
2.149988E+01  7.61991E+01
2.298338E+01  7.63299E+01
2.456923E+01  7.63600E+01
2.626450E+01  7.64321E+01
2.807676E+01  7.64168E+01
3.001405E+01  7.63631E+01
3.208502E+01  7.62893E+01
3.429889E+01  7.62029E+01
3.666551E+01  7.61083E+01
3.919543E+01  7.60079E+01
4.189992E+01  7.59027E+01
4.479101E+01  7.57929E+01
4.788159E+01  7.56773E+01
5.118542E+01  7.55514E+01
5.471721E+01  7.54097E+01
5.849270E+01  7.52406E+01
6.252870E+01  7.50181E+01
6.684318E+01  7.46783E+01
7.145536E+01  7.39039E+01
7.239338E+01  7.35326E+01
7.350144E+01  7.24458E+01
7.379693E+01  7.11446E+01
7.424015E+01  7.24596E+01
7.534821E+01  7.36472E+01
7.638578E+01  7.41160E+01
8.165640E+01  7.51235E+01
8.729069E+01  7.55687E+01
9.331374E+01  7.58340E+01
9.975239E+01  7.60122E+01
